year,elec_type,province,HÜDAPAR,DSP,AP,DYP,TURKPARTİ,HKP,TKP,GENÇPARTİ,BBP,AKPARTİ,MYP,YURTP,DP,EMEP,ÖDP,MİLLETPARTİSİ,SAADETPARTİSİ,HAKPAR,LDP,BDP,BTP,İP,HDP,CHP,HEPAR,MHP,BAĞIMSIZLAR
2014,metro,Adana,0,2050,0,0,0,734,0,0,5672,394481,0,0,0,0,0,1835,12875,842,338,0,1773,1703,90829,306747,0,414284,2131
2014,metro,Ankara,0,1900,0,1266,1129,1652,0,0,41886,1417212,0,5010,3304,0,0,955,15224,1829,405,0,3340,0,27620,1385576,4202,245765,3837
2014,metro,Antalya,0,2879,0,1153,744,1046,0,0,7047,476485,0,0,3403,0,0,691,6906,1095,203,0,1645,0,30216,453164,2639,318508,611
2014,metro,Aydın,0,2842,0,846,0,638,0,0,2762,189921,0,0,1930,0,0,304,2433,701,202,0,751,1096,20275,285281,1083,140362,0
2014,metro,Balıkesir,0,2663,0,1234,0,1015,0,0,3928,308267,0,0,0,0,0,957,8169,607,0,0,889,0,6251,196270,0,245291,0
2014,metro,Bursa,0,2873,0,3754,1467,1697,1006,0,9447,852745,0,3571,8796,0,0,1114,35665,1212,407,0,2868,2172,28777,494890,3879,264358,1151
2014,metro,Denizli,0,653,0,1301,634,616,255,0,5450,277178,0,0,3999,0,0,375,2870,490,168,0,632,968,6404,237751,0,72638,813
2014,metro,Diyarbakır,33256,467,0,405,503,0,0,0,7099,252065,0,0,0,0,0,0,6593,3188,0,397148,5789,506,0,8610,0,4677,313
2014,metro,Erzurum,0,0,0,308,0,493,0,0,3644,236886,0,0,1291,0,0,0,9331,529,0,25096,864,214,0,6297,0,116494,1108
2014,metro,Eskişehir,0,2073,0,641,0,397,0,0,6697,204906,0,0,2985,0,0,374,4638,335,143,0,513,0,3493,237414,930,58746,425
2014,metro,Gaziantep,0,879,0,2130,0,1072,0,0,9612,490398,0,0,7807,0,0,720,25266,1235,0,55911,2569,0,0,192986,0,106881,1192
2014,metro,Hatay,0,587,0,319,0,635,0,0,2334,339411,0,0,0,0,0,865,7012,434,0,0,878,0,11194,344301,1622,129400,513
2014,metro,Mersin,0,738,0,798,0,921,0,0,3967,284273,0,0,2705,0,0,517,6479,658,520,97957,1870,1757,0,287561,0,324257,0
2014,metro,İstanbul,0,7221,0,2344,0,4352,7524,0,47514,4101906,0,16614,5604,0,0,2311,122950,7371,1430,0,10717,15275,414290,3428454,14231,339785,3921
2014,metro,İzmir,0,13979,0,2247,2160,2407,2246,0,12735,947516,0,3204,4559,0,0,940,13813,2140,549,0,2951,10755,88797,1308134,6332,210272,1814
2014,metro,Kayseri,0,0,0,438,0,718,0,0,16684,450748,0,0,2285,0,0,500,13173,609,200,0,1143,478,2633,68141,0,206569,849
2014,metro,Kocaeli,0,968,0,654,0,750,0,0,6528,518639,0,0,3570,0,0,547,50873,896,225,0,1441,925,24235,268150,1826,144029,883
2014,metro,Konya,0,684,0,962,0,1309,0,0,10531,775164,0,0,4559,0,0,982,90115,1406,0,23490,1402,1210,0,69272,1225,222640,1253
2014,metro,Malatya,0,227,0,191,0,313,0,0,2134,274185,0,0,0,0,0,1480,43984,360,50,0,781,396,6996,79006,0,34090,780
2014,metro,Manisa,0,834,0,1046,0,1187,0,0,4355,324903,0,0,3522,0,0,589,6800,912,0,0,1334,982,21790,161770,0,354944,0
2014,metro,Kahramanmaraş,0,0,0,286,0,642,0,0,6860,349891,0,0,1241,0,0,294,7441,498,0,0,762,395,7740,37573,0,181180,0
2014,metro,Mardin,7817,217,0,275,0,0,0,0,4074,129325,0,0,0,0,0,0,8851,767,290,0,7084,323,0,3177,0,3236,180697
2014,metro,Muğla,0,0,0,4760,0,580,0,0,2788,160937,0,0,0,0,0,1028,2089,613,250,0,800,0,8707,272803,0,100035,0
2014,metro,Ordu,0,1841,0,0,0,666,0,0,3743,239717,0,0,1510,0,0,0,4529,0,0,0,660,0,1083,150429,0,35879,599
2014,metro,Sakarya,0,403,0,490,424,610,354,0,4216,331138,0,0,2110,0,0,0,17606,534,126,0,597,455,4659,52869,939,153192,1246
2014,metro,Samsun,0,673,0,918,803,985,0,0,4136,422373,0,0,3418,0,0,613,13806,0,323,0,883,785,1555,122312,1540,194246,916
2014,metro,Tekirdağ,0,2285,0,0,0,426,0,0,3618,204353,0,0,3040,0,0,267,3171,331,119,0,535,877,9477,251817,0,69717,343
2014,metro,Trabzon,0,239,0,961,474,520,0,0,2236,273812,0,0,0,0,0,672,12871,0,127,0,1522,330,473,114807,0,51349,634
2014,metro,Şanlıurfa,6595,331,0,0,0,0,0,0,4110,483407,0,0,0,0,0,1231,17760,1092,1197,239563,3333,331,0,6812,0,18657,0
2014,metro,Van,3255,0,0,0,0,0,0,0,2362,185783,0,0,1892,0,0,0,5938,1397,0,239861,3241,382,0,3502,0,3352,0
